user_id,target_r,target_g,target_b,achieved_r,achieved_g,achieved_b,tL,ta,tb,aL,aa,ab,tC,aC,delta_e_stored,delta_e_recon,skip_perception,mixing_model
WQC2HV,102,66,103,107,64,104,33.35183632842266,22.336384539983793,-15.366642317958224,33.546899832969096,25.54812746007387,-15.645570215754711,27.111764428861715,29.958148876262225,1.6500627956668612,1.6500627956668612,acceptable,
K0OSWU,225,155,151,225,154,150,70.65458361675861,25.65017540122816,12.693816205482268,70.40175734357763,26.06026260292593,12.891399817276383,28.61930236697489,29.07448152903734,0.2811040603997105,0.2811040603997105,acceptable,
K0OSWU,127,84,67,127,83,64,40.01274349806969,15.757349246017904,17.217187587417904,39.697206382367135,16.020901601123015,18.61630628679869,23.339357396494833,24.560866187428456,0.8801528403349267,0.8801528403349267,acceptable,
K0OSWU,144,121,101,142,121,101,52.446989629780816,5.735482127394609,14.291127102190938,52.248114265686894,4.905086392595404,13.985205469189799,15.399093125396682,14.820453587332638,0.9352915747707652,0.935291574770707,acceptable,
K0OSWU,204,80,66,204,82,68,50.65326544544398,48.35770723192168,33.66474533800192,51.027391705700154,47.554920617829566,32.97571137468598,58.921837440806044,57.86940483221393,0.4771785307173537,0.4771785307173543,acceptable,
K0OSWU,80,55,127,82,56,126,29.337003226889188,28.217653834783974,-36.98462781533887,29.734494279835125,27.850843586122746,-35.709771918840374,46.51987406022115,45.286391984284585,0.649892748016737,0.649892748016737,acceptable,
J4W7CV,88,68,44,90,67,47,30.378404117455958,5.046499480456296,17.786170265231604,30.384288134250156,6.989728952137536,15.969754602624796,18.488239767756543,17.432423035608263,2.7085906379608695,2.7085906379608695,unacceptable,
J4W7CV,165,130,118,167,130,114,57.34094705792158,11.621054120652675,11.62221796231191,57.459859092980906,11.868347027728877,14.112351515236089,16.43547532743194,18.439526199449574,1.7068844223152804,1.7068844223152944,acceptable,
BWO1ZK,255,173,59,255,171,25,76.96084570696759,20.890258342526447,66.9294588837105,76.35067374870509,21.053040876152284,76.4785907544932,70.11387423387606,79.32342260597554,2.644909333473799,2.644909333473799,identical,mixbox
BWO1ZK,255,173,59,255,171,25,76.96084570696759,20.890258342526447,66.9294588837105,76.35067374870509,21.053040876152284,76.4785907544932,70.11387423387606,79.32342260597554,2.644909333473799,2.644909333473799,,mixbox
J4W7CV,57,42,22,58,41,27,18.29358099732808,3.990044135694287,15.661561746256043,18.208618328778343,5.780188485834614,12.262333287138743,16.161836793402504,13.556378446201844,3.504916963408699,3.5049169634086663,identical,mixbox
